                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9814,                 3.1195,                 3.1283,                0.03073,                0.06388,                0.01463,                0.00453,                 3.3586,                 3.3738,                 3.0167,                0.07004,              0.0033289,              0.0033289
                      1,                  3.115,                 2.6474,                 2.5241,                0.09908,                0.07689,                0.04119,                0.01542,                 2.6653,                 2.7185,                 2.4261,                0.03971,              0.0063324,              0.0063324
                      2,                  2.569,                 2.3813,                 2.1378,                0.37119,                 0.1074,                0.08318,                0.03382,                 2.3542,                 2.4149,                 2.1641,              0.0090504,               0.009006,               0.009006
                      3,                 2.2667,                 2.2367,                 1.9266,                0.50845,                0.13634,                0.10473,                0.04857,                 2.0666,                 2.4152,                 1.9559,               0.008515,               0.008515,               0.008515
                      4,                  2.091,                 2.1192,                 1.8126,                0.15139,                0.17855,                0.09827,                0.04779,                 1.9832,                  2.675,                 1.9343,               0.008515,               0.008515,               0.008515
                      5,                 1.9829,                 2.0553,                 1.7551,                0.18279,                0.19212,                0.12627,                0.06335,                 1.8193,                 2.2603,                 1.7942,                0.00802,                0.00802,                0.00802
                      6,                 1.8898,                 1.9723,                  1.686,                0.19015,                0.19131,                0.14469,                0.07651,                 1.7207,                 1.9997,                 1.7345,               0.007525,               0.007525,               0.007525
                      7,                 1.8447,                 1.9234,                  1.654,                0.22373,                0.20345,                0.15006,                0.07989,                 1.6801,                 2.0617,                  1.701,                0.00703,                0.00703,                0.00703
                      8,                 1.8138,                 1.8988,                 1.6413,                0.48488,                0.21241,                0.15941,                0.08301,                   1.65,                 1.9533,                 1.6716,               0.006535,               0.006535,               0.006535
                      9,                 1.7713,                 1.8478,                 1.6113,                0.25515,                0.22917,                0.17497,                0.08888,                 1.6156,                 1.9055,                 1.6474,                0.00604,                0.00604,                0.00604
                     10,                 1.7063,                 1.9538,                 1.6563,                 0.2673,                0.22404,                0.18649,                0.09975,                 1.5922,                 1.9006,                 1.6372,               0.005545,               0.005545,               0.005545
                     11,                 1.6626,                 1.8756,                 1.6174,                0.27207,                0.23478,                0.17966,                 0.0959,                 1.5762,                 1.8848,                 1.6159,                0.00505,                0.00505,                0.00505
                     12,                 1.6382,                 1.8562,                 1.6087,                0.25308,                0.22001,                0.17996,                0.09679,                 1.5737,                 1.8663,                 1.6248,               0.004555,               0.004555,               0.004555
                     13,                  1.617,                 1.8116,                 1.5814,                0.25377,                0.23057,                0.18177,                0.09774,                 1.5348,                 1.8729,                 1.6072,                0.00406,                0.00406,                0.00406
                     14,                 1.5962,                 1.7942,                 1.5722,                 0.2591,                 0.2315,                0.19072,                0.10339,                 1.5388,                 1.8171,                 1.5958,               0.003565,               0.003565,               0.003565
                     15,                 1.5727,                 1.7753,                 1.5498,                 0.2557,                0.22989,                0.18752,                0.10522,                 1.5222,                 1.8375,                 1.5891,                0.00307,                0.00307,                0.00307
                     16,                 1.5461,                 1.7357,                 1.5444,                  0.294,                 0.2359,                0.20066,                0.11166,                 1.5103,                 1.8042,                 1.5725,               0.002575,               0.002575,               0.002575
                     17,                 1.5362,                 1.7122,                 1.5286,                0.26393,                0.25489,                0.20681,                0.11369,                 1.4881,                 1.7508,                 1.5661,                0.00208,                0.00208,                0.00208
                     18,                 1.5256,                 1.7018,                 1.5273,                0.29132,                0.23975,                0.20299,                0.11197,                 1.4967,                 1.7299,                 1.5753,               0.001585,               0.001585,               0.001585
                     19,                 1.4982,                 1.6739,                 1.5191,                0.29086,                0.24629,                0.20678,                0.11664,                 1.4805,                 1.7342,                 1.5662,                0.00109,                0.00109,                0.00109
