                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.104,                  3.242,                 3.2969,                0.06436,                  0.047,                0.02073,                 0.0062,                 3.4497,                 3.0095,                 3.0496,                0.07016,              0.0033156,              0.0033156
                      1,                 3.1647,                 2.6456,                 2.5667,                0.61946,                0.07025,                0.05054,                0.01901,                 2.6447,                 2.6224,                 2.4486,               0.040094,              0.0065831,              0.0065831
                      2,                 2.5866,                 2.3771,                 2.1451,                0.40934,                0.13451,                0.08109,                0.03285,                 2.3748,                 2.6934,                 2.1904,              0.0099619,              0.0097846,              0.0097846
                      3,                 2.2707,                  2.214,                  1.921,                0.16745,                0.12825,                0.07309,                0.02912,                 2.4328,                 2.7063,                 2.1791,               0.009703,               0.009703,               0.009703
                      4,                 2.1051,                 2.0968,                 1.8103,                0.14377,                0.18478,                0.12137,                0.06094,                 1.9033,                 2.1551,                 1.8604,               0.009703,               0.009703,               0.009703
                      5,                 1.9765,                  2.012,                 1.7401,                0.24247,                0.19038,                0.14601,                0.07525,                 1.7752,                 2.0898,                 1.7868,               0.009604,               0.009604,               0.009604
                      6,                 1.8841,                 1.9333,                 1.6708,                0.46797,                0.18695,                0.14534,                0.07626,                 1.7646,                 2.0396,                 1.7715,               0.009505,               0.009505,               0.009505
                      7,                 1.8341,                 1.8938,                 1.6411,                0.43715,                0.20174,                0.13955,                0.07405,                 1.7262,                  2.104,                 1.7424,               0.009406,               0.009406,               0.009406
                      8,                 1.8024,                 1.8562,                 1.6242,                0.51667,                 0.2227,                0.16481,                0.08372,                 1.6812,                 1.9481,                 1.6937,               0.009307,               0.009307,               0.009307
                      9,                 1.7613,                 1.8132,                 1.5931,                0.23659,                0.23364,                0.17625,                0.09172,                 1.6635,                 1.9001,                 1.6755,               0.009208,               0.009208,               0.009208
                     10,                 1.7242,                 1.7922,                 1.5716,                0.25575,                0.22275,                0.18247,                0.09726,                 1.6199,                 1.8748,                  1.651,               0.009109,               0.009109,               0.009109
                     11,                 1.6955,                 1.7784,                  1.557,                0.22395,                0.22044,                0.16596,                0.09008,                 1.6072,                 1.9032,                 1.6469,                0.00901,                0.00901,                0.00901
                     12,                 1.6801,                 1.7541,                 1.5443,                0.27905,                0.25321,                0.20796,                0.10998,                 1.5788,                 1.8049,                 1.6286,               0.008911,               0.008911,               0.008911
                     13,                 1.6442,                 1.7296,                 1.5292,                0.28134,                0.24692,                0.20321,                0.10809,                 1.5837,                 1.7918,                 1.6353,               0.008812,               0.008812,               0.008812
                     14,                 1.6266,                 1.7027,                 1.5138,                0.24988,                 0.2597,                0.19189,                0.10489,                 1.5656,                 1.7955,                  1.617,               0.008713,               0.008713,               0.008713
                     15,                 1.6011,                  1.691,                 1.5027,                0.26147,                0.24468,                 0.1909,                0.10896,                 1.5489,                 1.7827,                 1.6288,               0.008614,               0.008614,               0.008614
                     16,                 1.5851,                 1.6672,                 1.4933,                0.27832,                0.26141,                 0.2029,                0.11503,                 1.4849,                 1.7601,                 1.5605,               0.008515,               0.008515,               0.008515
                     17,                 1.5797,                 1.6522,                 1.4949,                0.28657,                0.25682,                 0.2095,                 0.1124,                 1.5437,                 1.7542,                 1.5994,               0.008416,               0.008416,               0.008416
                     18,                  1.576,                 1.6543,                 1.4911,                 0.2554,                0.26518,                0.19456,                0.10842,                 1.5242,                 1.7598,                 1.5961,               0.008317,               0.008317,               0.008317
                     19,                 1.5586,                 1.6401,                 1.4727,                0.23621,                0.23556,                0.16906,                0.09755,                   1.53,                 1.8347,                 1.5742,               0.008218,               0.008218,               0.008218
                     20,                 1.5346,                 1.6113,                 1.4569,                 0.3141,                0.25588,                0.21353,                0.12115,                  1.467,                 1.7461,                  1.557,               0.008119,               0.008119,               0.008119
                     21,                 1.5125,                  1.607,                 1.4477,                0.30985,                0.26557,                0.22399,                0.12658,                 1.4688,                 1.7056,                 1.5552,                0.00802,                0.00802,                0.00802
                     22,                 1.5063,                 1.5812,                 1.4428,                0.30002,                0.25187,                0.22026,                0.12415,                 1.4488,                 1.6824,                  1.548,               0.007921,               0.007921,               0.007921
                     23,                 1.4981,                 1.5709,                 1.4352,                0.29028,                 0.2687,                0.20919,                0.12009,                 1.4522,                 1.7144,                 1.5458,               0.007822,               0.007822,               0.007822
                     24,                 1.5033,                 1.5709,                 1.4321,                0.28828,                0.26256,                0.21781,                0.12414,                 1.4575,                 1.7071,                 1.5375,               0.007723,               0.007723,               0.007723
                     25,                 1.4796,                 1.5483,                 1.4194,                0.27533,                0.27968,                0.22219,                0.12603,                 1.4488,                 1.6732,                 1.5453,               0.007624,               0.007624,               0.007624
                     26,                 1.4671,                 1.5346,                 1.4252,                0.31128,                 0.2529,                0.22362,                0.12763,                 1.4267,                 1.7107,                 1.5376,               0.007525,               0.007525,               0.007525
                     27,                 1.4619,                 1.5407,                 1.4246,                0.30022,                0.26785,                 0.2307,                0.13128,                 1.4385,                 1.6924,                 1.5368,               0.007426,               0.007426,               0.007426
                     28,                 1.4505,                 1.5308,                 1.4141,                  0.323,                0.25807,                0.22949,                 0.1314,                 1.4443,                 1.7062,                 1.5408,               0.007327,               0.007327,               0.007327
                     29,                 1.4562,                 1.5114,                 1.4126,                0.30888,                0.26057,                0.22403,                0.12981,                 1.4375,                    1.7,                 1.5347,               0.007228,               0.007228,               0.007228
                     30,                  1.453,                 1.5147,                 1.4164,                0.31876,                0.25128,                0.23076,                0.13058,                 1.4175,                 1.6705,                 1.5269,               0.007129,               0.007129,               0.007129
                     31,                  1.436,                 1.5081,                 1.4064,                0.32926,                0.26822,                0.23601,                0.13224,                  1.426,                 1.6964,                 1.5315,                0.00703,                0.00703,                0.00703
                     32,                 1.4337,                 1.4874,                  1.397,                0.30443,                0.26165,                0.23477,                0.13081,                 1.4297,                 1.6531,                 1.5275,               0.006931,               0.006931,               0.006931
                     33,                 1.4272,                 1.4895,                  1.394,                0.27747,                0.28622,                0.24359,                0.13847,                 1.4258,                 1.6516,                 1.5419,               0.006832,               0.006832,               0.006832
                     34,                 1.4294,                 1.4946,                 1.3948,                0.29211,                 0.2754,                 0.2245,                0.12904,                 1.4324,                 1.6621,                 1.5298,               0.006733,               0.006733,               0.006733
                     35,                 1.4172,                 1.4757,                 1.3907,                0.32083,                0.27375,                0.23488,                0.13456,                 1.3938,                 1.6549,                 1.5077,               0.006634,               0.006634,               0.006634
                     36,                 1.4086,                 1.4636,                 1.3814,                0.31621,                0.29583,                 0.2308,                0.13146,                 1.4247,                 1.6878,                 1.5285,               0.006535,               0.006535,               0.006535
                     37,                  1.403,                 1.4544,                 1.3769,                0.27673,                0.27948,                0.23363,                0.13518,                 1.4139,                 1.6708,                 1.5188,               0.006436,               0.006436,               0.006436
                     38,                  1.393,                 1.4596,                 1.3731,                0.28573,                0.29543,                0.24586,                0.14323,                 1.3972,                 1.6159,                 1.5078,               0.006337,               0.006337,               0.006337
                     39,                 1.3859,                 1.4415,                 1.3707,                0.33762,                0.29467,                0.25203,                0.14521,                 1.3993,                 1.6253,                 1.5168,               0.006238,               0.006238,               0.006238
                     40,                  1.379,                 1.4362,                 1.3694,                0.27956,                 0.2797,                0.23509,                 0.1382,                 1.3856,                 1.6257,                  1.502,               0.006139,               0.006139,               0.006139
                     41,                 1.3785,                 1.4314,                 1.3655,                0.32019,                0.26719,                0.22987,                0.13438,                 1.4011,                 1.6681,                 1.5136,                0.00604,                0.00604,                0.00604
                     42,                 1.3709,                 1.4231,                  1.364,                0.26184,                0.29032,                 0.2321,                0.13618,                  1.402,                 1.6765,                 1.5133,               0.005941,               0.005941,               0.005941
                     43,                  1.363,                 1.4041,                 1.3535,                0.29846,                0.27093,                0.22321,                0.12953,                 1.4149,                 1.6526,                 1.5221,               0.005842,               0.005842,               0.005842
                     44,                 1.3543,                 1.3966,                 1.3516,                0.26413,                0.29565,                0.23505,                 0.1365,                 1.4169,                 1.6579,                  1.536,               0.005743,               0.005743,               0.005743
                     45,                 1.3562,                 1.3944,                 1.3538,                0.26848,                0.31078,                 0.2469,                0.14104,                 1.3935,                 1.6232,                 1.5112,               0.005644,               0.005644,               0.005644
                     46,                 1.3565,                 1.4007,                 1.3535,                0.28689,                0.28481,                 0.2397,                0.14194,                 1.3796,                 1.6442,                 1.5006,               0.005545,               0.005545,               0.005545
                     47,                 1.3421,                 1.3944,                 1.3427,                0.28407,                0.28735,                0.23955,                 0.1376,                 1.3993,                 1.6779,                 1.5167,               0.005446,               0.005446,               0.005446
                     48,                  1.343,                 1.3767,                 1.3389,                0.30295,                0.27351,                0.23865,                0.13881,                 1.3761,                 1.6311,                 1.5073,               0.005347,               0.005347,               0.005347
                     49,                 1.3457,                 1.3769,                 1.3435,                0.27732,                0.28562,                 0.2359,                0.13399,                 1.4026,                 1.6229,                 1.5084,               0.005248,               0.005248,               0.005248
                     50,                 1.3366,                 1.3723,                 1.3414,                0.28029,                0.27049,                0.22844,                0.13477,                 1.3779,                 1.6516,                 1.4944,               0.005149,               0.005149,               0.005149
                     51,                 1.3383,                 1.3737,                 1.3443,                0.25945,                0.31506,                 0.2334,                0.13726,                 1.3765,                  1.633,                 1.4935,                0.00505,                0.00505,                0.00505
